Timestep    Total   Potential   Kinetic
313: -623.3912728118063 -646.8456021764408 23.454329364634585
314: -623.3912733300299 -646.9120946040774 23.5208212740475
315: -623.3912737888869 -646.977150044087 23.585876255200112
316: -623.3912741890352 -647.0407605234367 23.64948633440146
317: -623.3912745311577 -647.1029190245505 23.71164449339284
318: -623.3912748159609 -647.1636194751812 23.772344659220416
319: -623.391275044171 -647.2228567378929 23.83158169372184
320: -623.3912752165381 -647.2806265991799 23.889351382641788
321: -623.39127533383 -647.3369257582223 23.94565042439226
322: -623.3912753968349 -647.3917518153073 24.000476418472385
323: -623.3912754063589 -647.4451032599217 24.05382785356282
324: -623.3912753632251 -647.496979458535 24.105704095309854
325: -623.3912752682735 -647.5473806420874 24.156105373813936
326: -623.3912751223584 -647.5963078931952 24.20503277083682
327: -623.3912749263493 -647.6437631330917 24.252488206742466
328: -623.3912746811279 -647.6897491083132 24.298474427185273
329: -623.3912743875906 -647.7342693771506 24.342994989560015
330: -623.3912740466437 -647.7773282958709 24.386054249227243
331: -623.3912736592054 -647.8189310047333 24.427657345527955
332: -623.3912732262032 -647.8590834138034 24.46781018760026
333: -623.3912727485744 -647.8977921885864 24.50651944001213
334: -623.3912722272648 -647.9350647354872 24.543792508222353
335: -623.3912716632267 -647.9709091871094 24.57963752388276
336: -623.3912710574209 -648.0053343874147 24.61406332999382
337: -623.391270410813 -648.038349876739 24.647079465925902
338: -623.3912697243749 -648.0699658766929 24.67869615231799
339: -623.3912689990823 -648.1001932749475 24.70892427586525
340: -623.3912682359152 -648.1290436099221 24.737775374006873
341: -623.3912674358584 -648.1565290553834 24.765261619525027
342: -623.3912665998969 -648.1826624049625 24.79139580506563
343: -623.3912657290194 -648.2074570566106 24.816191327591135
344: -623.3912648242157 -648.2309269969913 24.83966217277568
345: -623.3912638864763 -648.2530867858283 24.861822899351964
346: -623.3912629167926 -648.2739515402121 24.882688623419522
347: -623.3912619161545 -648.2935369188779 24.9022750027234
348: -623.3912608855533 -648.3118591064652 24.92059822091204
349: -623.3912598259769 -648.3289347977598 24.937674971782794
350: -623.3912587384126 -648.344781181936 24.953522443523376
351: -623.3912576238455 -648.3594159268025 24.968158302957054
352: -623.3912564832584 -648.3728571630572 24.981600679798866
353: -623.3912553176305 -648.3851234685611 24.99386815093072
354: -623.3912541279374 -648.396233852639 25.004979724701634
355: -623.3912529151512 -648.4062077404113 25.01495482526017
356: -623.3912516802409 -648.4150649571662 25.023813276925345
357: -623.3912504241702 -648.4228257127722 25.031575288602106
358: -623.3912491478975 -648.4295105861445 25.038261438246955
359: -623.3912478523775 -648.435140509767 25.043892657389538
360: -623.3912465385575 -648.4397367542728 25.048490215715187
361: -623.3912452073815 -648.4433209130951 25.05207570571356
362: -623.3912438597862 -648.4459148871841 25.054671027397987
363: -623.391242496703 -648.447540869803 25.05629837310003
364: -623.3912411190562 -648.4482213313998 25.056980212343667
365: -623.3912397277638 -648.4479790045667 25.056739276802833
366: -623.3912383237381 -648.4468368690842 25.05559854534614
367: -623.3912369078826 -648.4448181370554 25.053581229172853
368: -623.3912354810965 -648.4419462381392 25.050710757042726
369: -623.3912340442685 -648.4382448048719 25.04701076060353
370: -623.3912325982824 -648.4337376581012 25.042505059818865
371: -623.3912311440137 -648.4284487925133 25.037217648499634
372: -623.3912296823303 -648.4224023622713 25.031172679941015
373: -623.3912282140926 -648.415622666761 25.024394452668368
374: -623.3912267401529 -648.4081341364468 25.016907396293973
375: -623.3912252613562 -648.3999613188431 25.008736057486914
376: -623.3912237785393 -648.3911288645975 24.999905086058227
377: -623.3912222925295 -648.3816615136932 24.990439221163665
378: -623.3912208041478 -648.3715840817733 24.980363277625596
379: -623.3912193142066 -648.3609214465828 24.969702132376142
380: -623.3912178235094 -648.3496985345325 24.958480711023224
381: -623.3912163328523 -648.3379403073936 24.946723974541317
382: -623.3912148430207 -648.3256717491092 24.934456906088453
